"WBS #","Name / Title",Type,"Start Date","End Date","Estimated Hours","Actual Hours","Percent Complete",Resources,Predecessors,Notes,Comments,"Task Color"
1,"Разработка VSTi синтезатора",project,2021-04-20,2021-07-23,0,0,0,,,,,
1.1,"Разработка проектной документации",group,2021-04-20,2021-05-08,0,0,0,,,,,
1.1.1,"Разработка технического задания",task,2021-04-20,2021-04-22,0,0,0,,,,,blue2
1.1.2,"Разработка плана разработки",task,2021-04-23,2021-04-27,0,0,0,,1.1.1,,,blue2
1.1.3,"Разработка функциональной спецификации",task,2021-04-28,2021-05-05,0,0,0,,1.1.2,,,blue2
1.1.4,"Утверждение разработанной документации",task,2021-05-06,2021-05-07,0,0,0,,1.1.3,,,blue2
1.1.5,"Завершение разработки проектной документации ",milestone,2021-05-08,2021-05-08,0,0,0,,1.1.4,,,blue2
1.2,"Исследование предметной области",group,2021-05-10,2021-05-22,0,0,0,,,,,
1.2.1,"Изучение основ теории звука",task,2021-05-10,2021-05-14,0,0,0,,1.1.5,,,blue2
1.2.2,"Изучение основ фреймворка Juce",task,2021-05-17,2021-05-21,0,0,0,,1.2.1,,,blue2
1.2.3,"Сформирован набор инструментов необходимых для разработки",milestone,2021-05-22,2021-05-22,0,0,0,,1.2.2,,,blue2
1.3,"Разработка генератора звуковых волн",group,2021-05-24,2021-06-03,0,0,0,,,,,
1.3.1,"Разработка осцилятора",task,2021-05-24,2021-05-28,0,0,0,,1.2.3,,,blue2
1.3.2,"Разработка огибающей ADSR",task,2021-05-31,2021-06-02,0,0,0,,1.3.1,,,blue2
1.3.3,"Прототип генератора звуковой волны",milestone,2021-06-03,2021-06-03,0,0,0,,1.3.2,,,blue2
1.4,"Разработка инструментов звуковой обработки",group,2021-06-04,2021-06-22,0,0,0,,,,,
1.4.1,"Разработка смешивания звука",task,2021-06-04,2021-06-08,0,0,0,,1.3.3,,,blue2
1.4.2,"Разработка частотного фильтра",task,2021-06-09,2021-06-16,0,0,0,,1.4.1,,,blue2
1.4.3,"Разработка мастер канал обработчика",task,2021-06-17,2021-06-21,0,0,0,,1.4.2,,,blue2
1.4.4,"Модуль звуковой обработки",milestone,2021-06-22,2021-06-22,0,0,0,,1.4.3,,,blue2
1.5,"Разработка модуля эффектов",group,2021-06-23,2021-07-02,0,0,0,,,,,
1.5.1,"Разработка эффекта дисторшн",task,2021-06-23,2021-06-27,0,0,0,,1.4.4,,,blue2
1.5.2,"Разработка эффекта дилей",task,2021-06-28,2021-07-01,0,0,0,,1.5.1,,,blue2
1.5.3,"Модуль эффектов",milestone,2021-07-02,2021-07-02,0,0,0,,1.5.2,,,blue2
1.6,"Разработка графического интерфейса",group,2021-07-03,2021-07-10,0,0,0,,,,,
1.6.1,"Дизайн интерфейса",task,2021-07-03,2021-07-05,0,0,0,,1.5.3,,,blue2
1.6.2,"Разработка визуального окна",task,2021-07-06,2021-07-08,0,0,0,,1.6.1,,,blue2
1.6.3,"Внедрение визуального окна в функционал",task,2021-07-09,2021-07-09,0,0,0,,1.6.2,,,blue2
1.6.4,"Прототип программы с визуальным окном",milestone,2021-07-10,2021-07-10,0,0,0,,1.6.3,,,blue2
1.7,"Этап тестирование",group,2021-07-12,2021-07-16,0,0,0,,,,,
1.7.1,"Подготовка тестов",task,2021-07-12,2021-07-12,0,0,0,,1.6.4,,,blue2
1.7.2,"Проведение тестирование",task,2021-07-13,2021-07-15,0,0,0,,1.7.1,,,blue2
1.7.3,"Завершён этап тестирования",milestone,2021-07-16,2021-07-16,0,0,0,,1.7.2,,,blue2
1.8,"Этап эксплуатации",group,2021-07-20,2021-07-23,0,0,0,,,,,
1.8.1,"Разработка руководства пользователя",task,2021-07-20,2021-07-21,0,0,0,,1.7.3,,,blue2
1.8.2,"Структурирование хранилища",task,2021-07-22,2021-07-22,0,0,0,,1.8.1,,,blue2
1.8.3,"Продукт готов к эксплуатации",milestone,2021-07-23,2021-07-23,0,0,0,,1.8.2,,,blue2
